code,mission_sector,business_function,service,definition
B01.050.279,Defense and National Security,National Defense,Battlespace Networks,Battlespace Networks includes activities that extend ?commercial like? IT Infrastructure to meet the connectivity and interoperability needs of deployed and mobile warfighting capabilities. This function focuses on information transport; and computing and enterprise services capabilities for the tactical edge users. It includes tactical edge networks and gateways to enable end-to-end connectivity between battlespace networks and IT infrastructure capabilities.
B01.050.280,Defense and National Security,National Defense,Command and Control,"Command and Control includes activities that facilitate the exercise of authority and direction by a properly designated commander or decision maker over assigned and attached forces and resources in the accomplishment of the mission. It includes activities to align or synchronize interdependent and disparate entities to achieve unity of effort, understand information about the environment and situation to aid in decision making, establish a framework and select a course of action to employ resources to achieve a desired outcome/effect; and observe and assess events/effects of a decision."
B01.050.281,Defense and National Security,National Defense,Force Application,"Force Application includes activities to integrate the use of maneuver and engagement in all environments, to create the effects necessary for achieving DoD mission objectives. Maneuver is the ability to move to a position of advantage in all environments in order to generate or enable the generation of effects in all domain and the information environment. Engagement is the ability to use kinetic and non-kinetic means in all environments to generate the desired lethal and/or non-lethal effects from all domains and the information environment."
B01.050.283,Defense and National Security,National Defense,Force Protection,"Refers to activities to prevent and/or mitigate adverse effects of attacks on personnel (combatant or non-combatant) and physical assets of the United States, its allies and friends. This encompasses, but is not limited to:  air and missile defense operations, strategic nuclear deterrent and prevention of non-kinetic attacks; mitigation of chemical, biological, radiological, nuclear, electromagnetic pulse and other lethal/non-lethal effects; and military support to civil defense activities."
B01.050.282,Defense and National Security,National Defense,Protection,"Protection involves Citizen Protection, Leadership Protection and Property Protection; it involves all activities performed to protect the general population of the United States, president, vice-president, their families, foreign leaders and dignitaries, and other high-level government officials from criminal activity and entails all activities performed to ensure the security of civilian and government property as well as foreign diplomatic missions."
B01.050.284,Defense and National Security,National Defense,Force Training,"Force Training includes activities to develop, enhance, adapt and sustain the capacity to perform specific functions and tasks, during and in preparation for wartime and conflicts, in order to improve the individual or collective performance of personnel, units, forces, and staffs. These activities include, but are not limited to, unit force training; and training in operating weapon systems. This does not include general professional development or training."
B01.050.301,Defense and National Security,National Defense,Force Allocation,"Force Allocation includes Application and Management; activities to integrate the use of maneuver and engagement in all environments, to create the effects necessary for achieving mission objectives and activities to integrate new and existing human and technical assets from across the Total Force and its mission partners, during and in preparation for wartime and conflicts, to make the right capabilities available at the right time/place to support national security."
B01.053.302,Defense and National Security,Atomic energy defense activities,Nuclear Weapons Stockpile Oversight,"Nuclear Weapons Stockpile and Oversight includes all processes around the counting, tracking, transferring, securing, and decommissioning of various weapons that contain nuclear materials."
B01.053.349,Defense and National Security,Atomic energy defense activities,Nonproliferation and Threat Reduction,"Nonproliferation and Threat Reduction encompasses the activities necessary to limit or prevent the spread of materials, technology, or expertise relating to weapons of mass destruction; advance the technologies to detect the proliferation of weapons of mass destruction worldwide; and eliminate or secure inventories of surplus fissile materials and infrastructure usable for nuclear weapons, while working closely with its federal, international, and regional partners."
B01.053.350,Defense and National Security,Atomic energy defense activities,Nuclear Emergency Management and Response,"Nuclear Emergency Management and Response encompasses the Services associated with the planning, management and response to facility emergencies, and nuclear or radiological incidents within the United States or abroad, as well as operational planning and training to counter domestic and international nuclear terrorism."
